timestamp_ms,side_cm
1765065165208,17.968991641782623
1765065165273,17.968991641782623
1765065165303,17.968991641782623
1765065165333,17.968991641782623
1765065165363,17.968991641782623
1765065165427,17.968991641782623
1765065165457,17.968991641782623
1765065165487,17.96295026333155
1765065165517,17.96295026333155
1765065165582,17.96295026333155
1765065165612,17.528795021360338
1765065165642,17.528795021360338
1765065165672,17.300286836428995
1765065165736,16.976094927666054
1765065165766,16.976094927666054
1765065165796,16.642686491713675
1765065165826,16.642686491713675
1765065165891,16.642686491713675
1765065165921,16.642686491713675
1765065165951,16.641433590353927
1765065165981,16.641433590353927
1765065166045,14.698221567485461
1765065166075,13.249252458035471
1765065166105,13.249252458035471
1765065166135,11.57050510337831
1765065166200,11.214527319156105
1765065166229,11.214527319156105
1765065166259,8.918220896791809
1765065166290,8.918220896791809
1765065166355,7.505791814255416
1765065166385,7.505791814255416
1765065166415,7.505791814255416
1765065166445,7.505791814255416
1765065166509,7.505791814255416
1765065166539,7.505791814255416
1765065166569,7.505791814255416
1765065166599,7.505791814255416
1765065166664,7.505791814255416
1765065166694,51.53310891060278
1765065166724,51.53310891060278
