timestamp_ms,front_cm
1765065670601,247.63136823009427
1765065670949,247.63136823009427
1765065670979,247.63136823009427
1765065671009,247.63136823009427
1765065671039,248.0321586055975
1765065671103,248.03533376604307
1765065671133,248.03533376604307
1765065671163,248.03533376604307
1765065671193,248.03533376604307
1765065671258,248.03533376604307
1765065671288,248.03533376604307
1765065671318,248.03533376604307
1765065671348,248.03533376604307
1765065671412,248.03533376604307
1765065671442,248.03533376604307
1765065671472,248.03533376604307
1765065671502,248.03533376604307
1765065671567,248.03121464277544
1765065671597,248.03121464277544
1765065671627,248.03121464277544
1765065671657,248.03121464277544
1765065671721,248.03121464277544
1765065671751,248.03121464277544
1765065671781,248.03121464277544
1765065671811,248.02548219895968
1765065671875,248.02548219895968
1765065671905,248.00862813168715
1765065671935,248.00862813168715
1765065671965,248.00862813168715
1765065672030,248.00862813168715
1765065672060,247.6367745725538
1765065672090,247.6367745725538
1765065672120,248.00862813168715
1765065672185,248.00862813168715
1765065672215,247.62661408254232
1765065672245,247.62661408254232
1765065672275,247.62342175927822
1765065672339,247.62342175927822
1765065672369,247.59769442118613
1765065672399,247.59769442118613
