timestamp_ms,ax,ay,az
1765067864189,-0.0392266,-9.6889702,-0.5099458
1765067864230,0.196133,-8.8652116,-0.9022117999999999
1765067864236,-0.1569064,-9.2967042,-0.7060788
1765067864242,-0.1569064,-9.492837199999999,-0.5491724
1765067864248,-0.1569064,-9.492837199999999,-0.5491724
1765067864254,0.0,-9.2967042,-0.6276256
1765067864260,0.0,-9.2967042,-0.6276256
1765067864266,0.1176798,-9.7674234,-0.4707192
1765067864272,0.5883989999999999,-9.2967042,-0.5491724
1765067864278,0.5883989999999999,-9.2967042,-0.5491724
1765067864284,0.4707192,-8.825985,-0.5883989999999999
1765067864290,0.4707192,-8.825985,-0.5883989999999999
1765067864296,-0.0392266,-9.1397978,-0.392266
1765067864302,-0.0392266,-9.1397978,-0.392266
1765067864308,-0.5491724,-9.492837199999999,-0.3138128
1765067864314,-0.7453053999999999,-9.3359308,-0.7060788
1765067864320,-0.7453053999999999,-9.3359308,-0.7060788
1765067864326,0.1176798,-9.218251,-1.0198916
1765067864332,0.1176798,-9.218251,-1.0198916
1765067864338,0.43149259999999995,-9.5320638,-1.2552512
1765067864344,1.4513842,-9.571290399999999,-1.4121576
1765067864384,1.4906107999999998,-9.492837199999999,-1.0983448
1765067864390,1.4906107999999998,-9.492837199999999,-1.0983448
1765067864396,0.6668522,-9.571290399999999,-0.980665
1765067864402,0.6668522,-9.571290399999999,-0.980665
1765067864408,0.5491724,-8.9436648,-1.1375714
1765067864414,-0.2353596,-10.0812362,-0.8629851999999999
1765067864420,-0.2353596,-10.0812362,-0.8629851999999999
1765067864426,-0.3530394,-9.8851032,-0.9414384
1765067864432,-0.3530394,-9.8851032,-0.9414384
1765067864438,-0.2745862,-8.9436648,-1.2552512
1765067864444,0.3138128,-9.5320638,-1.4513842
1765067864450,0.3138128,-9.5320638,-1.4513842
1765067864456,1.1767979999999998,-8.1983594,-1.6082906
1765067864462,1.1767979999999998,-8.1983594,-1.6082906
1765067864468,1.6867438000000001,-6.5900688,-1.4906107999999998
1765067864474,1.6867438000000001,-6.5900688,-1.4906107999999998
1765067864480,1.6082906,-7.5707338,-0.9414384
1765067864486,0.7060788,-7.4138274,-1.0591182
1765067864492,0.7060788,-7.4138274,-1.0591182
1765067864498,0.2745862,-8.433719,-1.2552512
1765067864539,0.0,-9.80665,-1.569064
1765067864545,0.0,-9.80665,-1.569064
1765067864551,0.3530394,-9.571290399999999,-1.765197
1765067864557,0.8237586,-10.1596894,-1.8044235999999998
1765067864563,0.8237586,-10.1596894,-1.8044235999999998
1765067864569,1.6867438000000001,-10.1596894,-2.0397832
1765067864575,1.6867438000000001,-10.1596894,-2.0397832
1765067864581,1.5298374,-9.924329799999999,-2.157463
1765067864587,1.569064,-9.2967042,-2.3535959999999996
1765067864593,1.569064,-9.2967042,-2.3535959999999996
1765067864599,1.2160246,-8.9044382,-2.3928225999999997
1765067864605,1.2160246,-8.9044382,-2.3928225999999997
1765067864611,1.2160246,-9.6889702,-2.157463
1765067864617,1.2160246,-9.6889702,-2.157463
1765067864623,1.4121576,-9.1005712,-2.6281822
1765067864629,1.8828768,-9.2967042,-2.6281822
1765067864635,1.8828768,-9.2967042,-2.6281822
1765067864641,1.6082906,-9.9635564,-2.6281822
1765067864647,1.6082906,-9.9635564,-2.6281822
1765067864653,1.6082906,-9.5320638,-2.7458620000000002
1765067864693,1.4906107999999998,-9.924329799999999,-2.7458620000000002
1765067864699,1.0198916,-10.002782999999999,-2.7066354
1765067864705,1.0198916,-10.002782999999999,-2.7066354
1765067864711,1.3337044,-9.610517,-2.8635417999999997
1765067864717,1.3337044,-9.610517,-2.8635417999999997
1765067864723,1.2552512,-9.3359308,-2.9027684
1765067864729,1.8828768,-9.80665,-2.8635417999999997
1765067864735,1.8828768,-9.80665,-2.8635417999999997
1765067864741,1.96133,-9.3359308,-3.0204481999999997
1765067864747,1.96133,-9.3359308,-3.0204481999999997
1765067864753,2.3535959999999996,-8.316039199999999,-3.2558078
1765067864759,2.3535959999999996,-8.9828914,-3.0989014
1765067864765,2.3535959999999996,-8.9828914,-3.0989014
1765067864771,1.4513842,-9.4536106,-2.8635417999999997
1765067864777,1.4513842,-9.4536106,-2.8635417999999997
1765067864783,0.9022117999999999,-8.825985,-2.9812215999999996
1765067864789,0.9022117999999999,-8.825985,-2.9812215999999996
1765067864795,0.784532,-9.5320638,-2.7458620000000002
1765067864801,0.1569064,-9.7674234,-2.549729
1765067864807,0.1569064,-9.7674234,-2.549729
1765067864847,2.4712758,-9.022118,-2.8243152
1765067864853,1.8044235999999998,-9.5320638,-2.7850886
1765067864859,1.8044235999999998,-9.5320638,-2.7850886
1765067864865,1.2160246,-9.0613446,-2.9027684
1765067864871,0.6276256,-8.8652116,-2.8243152
1765067864877,0.6276256,-8.8652116,-2.8243152
1765067864883,0.8629851999999999,-8.669078599999999,-2.7850886
1765067864889,0.8629851999999999,-8.669078599999999,-2.7850886
1765067864895,1.569064,-9.492837199999999,-2.7850886
1765067864901,2.0790097999999997,-9.5320638,-2.7066354
1765067864907,2.0790097999999997,-9.5320638,-2.7066354
1765067864913,1.9221034,-8.7867584,-2.8243152
1765067864919,1.9221034,-8.7867584,-2.8243152
1765067864925,1.3729310000000001,-9.5320638,-2.5105024
1765067864931,1.1767979999999998,-9.649743599999999,-2.3535959999999996
1765067864937,1.1767979999999998,-9.649743599999999,-2.3535959999999996
1765067864943,0.6276256,-8.825985,-2.549729
1765067864949,0.6276256,-8.825985,-2.549729
1765067864955,1.3337044,-8.7867584,-2.6281822
1765067864961,1.3337044,-8.7867584,-2.6281822
1765067865002,2.4320492,-9.4536106,-2.6281822
1765067865008,2.7850886,-9.2574776,-2.3143694
1765067865014,2.9027684,-9.6889702,-2.1966896
1765067865020,2.9027684,-9.6889702,-2.1966896
1765067865026,2.157463,-9.5320638,-2.2359162
1765067865032,2.157463,-9.5320638,-2.2359162
1765067865038,1.6475172,-9.924329799999999,-2.4320492
1765067865044,1.4513842,-10.277369199999999,-2.6674088
1765067865050,1.4513842,-10.277369199999999,-2.6674088
1765067865056,-0.392266,-10.4735022,-2.6674088
1765067865062,-0.392266,-10.4735022,-2.6674088
