timestamp_ms,side_cm
1765063582086,217.11356332165798
1765063582151,217.11356332165798
1765063582181,217.11356332165798
1765063582211,217.11356332165798
1765063582241,217.11356332165798
1765063582306,217.0477603799451
1765063582336,217.0477603799451
1765063582366,217.0477603799451
1765063582396,216.8833903296742
1765063582460,216.86178211192293
1765063582490,216.86178211192293
1765063582520,216.86178211192293
1765063582550,216.86178211192293
1765063582615,216.5003979842656
1765063582645,216.5003979842656
1765063582675,216.5003979842656
1765063582705,216.5003979842656
1765063582769,216.5003979842656
1765063582799,216.5003979842656
1765063582829,216.5003979842656
1765063582859,216.8833903296742
1765063582924,216.8833903296742
1765063582954,216.8833903296742
1765063582984,216.5003979842656
1765063583014,216.5003979842656
1765063583078,216.5003979842656
1765063583108,215.27389567836903
1765063583138,215.27389567836903
1765063583168,10.868572728251022
1765063583233,10.868572728251022
1765063583263,10.868572728251022
1765063583293,10.868572728251022
1765063583323,10.868572728251022
1765063583388,10.868572728251022
1765063583418,10.868572728251022
1765063583448,10.868572728251022
1765063583478,10.868572728251022
1765063583542,10.868572728251022
1765063583572,153.63871361976538
1765063583602,153.63871361976538
