timestamp_ms,ax,ay,az
1765063500215,-5.2563644,-8.9044382,-2.8635417999999997
1765063500257,-3.530394,-9.1790244,-3.4519407999999996
1765063500263,-4.3541526,-8.629852,-3.530394
1765063500269,-4.3541526,-8.629852,-3.530394
1765063500275,-4.5895122,-7.9237732,-3.5696205999999995
1765063500281,-4.5895122,-7.9237732,-3.5696205999999995
1765063500287,-3.726527,-8.590625399999999,-3.530394
1765063500293,-3.726527,-8.590625399999999,-3.530394
1765063500299,-2.7066354,-10.277369199999999,-2.9812215999999996
1765063500305,-1.6475172,-10.002782999999999,-2.8243152
1765063500311,-1.6475172,-10.002782999999999,-2.8243152
1765063500317,-0.2745862,-9.2967042,-2.941995
1765063500323,-0.2745862,-9.2967042,-2.941995
1765063500329,0.4707192,-9.6889702,-2.7066354
1765063500335,1.3337044,-9.845876599999999,-2.7458620000000002
1765063500341,1.3337044,-9.845876599999999,-2.7458620000000002
1765063500347,1.7259703999999998,-9.022118,-2.6281822
1765063500353,1.7259703999999998,-9.022118,-2.6281822
1765063500359,1.5298374,-8.1591328,-2.8243152
1765063500365,0.9022117999999999,-8.394492399999999,-2.7850886
1765063500371,0.9022117999999999,-8.394492399999999,-2.7850886
1765063500412,0.0,-10.4735022,-2.5105024
1765063500418,0.0392266,-10.4735022,-2.5105024
1765063500424,0.0392266,-10.4735022,-2.5105024
1765063500430,0.784532,-10.5127288,-2.3928225999999997
1765063500436,1.0591182,-9.610517,-2.5105024
1765063500442,1.0591182,-9.610517,-2.5105024
1765063500448,1.1375714,-8.590625399999999,-2.4712758
1765063500454,1.1375714,-8.590625399999999,-2.4712758
1765063500460,1.2944778,-8.7867584,-2.3928225999999997
1765063500466,1.2944778,-8.7867584,-2.3928225999999997
1765063500472,1.0983448,-8.9436648,-2.3535959999999996
1765063500478,0.392266,-9.218251,-2.3143694
1765063500484,0.392266,-9.218251,-2.3143694
1765063500490,0.0392266,-9.7674234,-2.3143694
1765063500496,0.0392266,-9.7674234,-2.3143694
1765063500502,-0.1569064,-10.7088618,-2.2751428
1765063500508,-0.6668522,-11.728753399999999,-1.96133
1765063500514,-0.6668522,-11.728753399999999,-1.96133
1765063500519,-0.392266,-11.76798,-1.96133
1765063500525,-0.392266,-11.76798,-1.96133
1765063500566,-0.3530394,-9.924329799999999,-1.765197
1765063500572,0.1176798,-9.414383999999998,-2.0005566
1765063500578,0.6276256,-9.218251,-1.8828768
1765063500584,0.6276256,-9.218251,-1.8828768
1765063500590,0.6276256,-8.8652116,-1.765197
1765063500596,0.6276256,-8.8652116,-1.765197
1765063500602,0.7453053999999999,-9.0613446,-1.6867438000000001
1765063500608,0.6668522,-9.0613446,-1.8044235999999998
1765063500614,0.6668522,-9.0613446,-1.8044235999999998
1765063500620,0.7060788,-9.3359308,-1.8044235999999998
1765063500626,0.7060788,-9.3359308,-1.8044235999999998
1765063500632,0.7453053999999999,-9.2967042,-1.8828768
1765063500638,0.7453053999999999,-9.2967042,-1.8828768
1765063500644,0.7060788,-9.2967042,-2.0005566
1765063500650,0.4707192,-10.3558224,-1.765197
1765063500656,0.4707192,-10.3558224,-1.765197
1765063500662,0.8629851999999999,-11.061901200000001,-1.7259703999999998
1765063500668,0.8629851999999999,-11.061901200000001,-1.7259703999999998
1765063500674,0.8629851999999999,-10.4735022,-1.7259703999999998
1765063500680,0.1176798,-9.649743599999999,-1.9221034
1765063500720,0.5099458,-9.3359308,-1.4513842
1765063500726,0.5099458,-9.3359308,-1.4513842
1765063500732,1.3729310000000001,-8.9828914,-1.569064
1765063500738,1.3729310000000001,-8.9828914,-1.569064
1765063500744,1.8828768,-9.218251,-1.4121576
1765063500750,2.0790097999999997,-9.80665,-1.1767979999999998
1765063500756,2.0790097999999997,-9.80665,-1.1767979999999998
1765063500762,2.0397832,-9.80665,-1.2160246
1765063500768,2.0397832,-9.80665,-1.2160246
1765063500774,1.8828768,-9.2967042,-1.4513842
1765063500780,1.2552512,-8.5513988,-1.569064
1765063500786,1.2552512,-8.5513988,-1.569064
1765063500792,0.196133,-7.3353741999999995,-1.6867438000000001
1765063500798,0.196133,-7.3353741999999995,-1.6867438000000001
1765063500804,0.1176798,-7.217694399999999,-1.5298374
1765063500810,0.1176798,-7.217694399999999,-1.5298374
1765063500816,-0.2745862,-8.5513988,-1.2552512
1765063500822,-0.4707192,-10.0812362,-1.0983448
1765063500828,-0.4707192,-10.0812362,-1.0983448
1765063500834,-0.7060788,-10.9049948,-1.1767979999999998
1765063500875,1.9221034,-6.943108199999999,-1.8828768
1765063500881,1.9221034,-6.943108199999999,-1.8828768
1765063500887,2.4712758,-7.8060934,-1.765197
1765063500893,2.4320492,-9.3359308,-1.5298374
1765063500899,2.4320492,-9.3359308,-1.5298374
1765063500905,2.2359162,-10.277369199999999,-1.6082906
1765063500911,2.2359162,-10.277369199999999,-1.6082906
1765063500917,2.3928225999999997,-10.3165958,-1.6082906
1765063500923,2.2359162,-9.845876599999999,-1.765197
1765063500929,2.2359162,-9.845876599999999,-1.765197
1765063500935,1.4906107999999998,-9.1005712,-1.7259703999999998
1765063500941,1.4906107999999998,-9.1005712,-1.7259703999999998
1765063500947,1.0983448,-8.7083052,-1.7259703999999998
1765063500953,1.1375714,-8.3552658,-1.765197
1765063500959,1.1375714,-8.3552658,-1.765197
1765063500965,0.9414384,-8.237585999999999,-1.6867438000000001
1765063500971,0.9414384,-8.237585999999999,-1.6867438000000001
1765063500977,0.5883989999999999,-8.041453,-1.8044235999999998
1765063500983,0.5883989999999999,-8.041453,-1.8044235999999998
1765063500989,0.2745862,-8.4729456,-1.6867438000000001
1765063501029,1.8828768,-10.5519554,-2.0005566
1765063501035,2.157463,-10.9442214,-2.157463
1765063501041,2.157463,-10.9442214,-2.157463
1765063501047,1.7259703999999998,-10.591182,-2.1966896
1765063501053,1.7259703999999998,-10.591182,-2.1966896
1765063501059,1.2552512,-9.80665,-2.3535959999999996
1765063501065,1.4906107999999998,-9.649743599999999,-2.1966896
1765063501071,1.4906107999999998,-9.649743599999999,-2.1966896
1765063501077,1.7259703999999998,-10.2381426,-2.0005566
1765063501083,1.7259703999999998,-10.2381426,-2.0005566
1765063501089,1.9221034,-10.6304086,-1.8436502
1765063501095,2.2751428,-10.1596894,-1.96133
1765063501101,2.2751428,-10.1596894,-1.96133
1765063501107,2.6674088,-9.5320638,-2.0005566
1765063501113,2.6674088,-9.5320638,-2.0005566
1765063501119,2.7458620000000002,-9.414383999999998,-1.8436502
1765063501125,2.5105024,-8.747531799999999,-1.96133
1765063501131,2.5105024,-8.747531799999999,-1.96133
1765063501137,2.2751428,-8.7083052,-2.1182364
1765063501143,2.2751428,-8.7083052,-2.1182364
1765063501184,1.765197,-8.9044382,-1.8436502
1765063501190,1.8044235999999998,-8.825985,-1.8828768
1765063501196,1.8044235999999998,-8.825985,-1.8828768
1765063501202,1.6867438000000001,-8.825985,-1.9221034
1765063501208,1.4906107999999998,-9.3359308,-1.8436502
1765063501214,1.4906107999999998,-9.3359308,-1.8436502
1765063501220,1.3337044,-10.2381426,-1.6867438000000001
1765063501226,1.3337044,-10.2381426,-1.6867438000000001
1765063501232,1.7259703999999998,-10.7480884,-1.6475172
1765063501238,2.4712758,-10.277369199999999,-1.569064
1765063501244,2.4712758,-10.277369199999999,-1.569064
1765063501250,2.7458620000000002,-9.924329799999999,-1.5298374
1765063501256,2.7458620000000002,-9.924329799999999,-1.5298374
1765063501262,3.0204481999999997,-9.7281968,-1.4906107999999998
1765063501268,2.7850886,-8.747531799999999,-1.8436502
1765063501274,2.7850886,-8.747531799999999,-1.8436502
1765063501280,2.5889556,-9.414383999999998,-1.569064
1765063501286,2.5889556,-9.414383999999998,-1.569064
1765063501292,2.3143694,-9.845876599999999,-1.4121576
1765063501298,2.3143694,-9.845876599999999,-1.4121576
1765063501338,3.6873004,-9.7674234,-1.4906107999999998
1765063501344,3.530394,-9.571290399999999,-1.6867438000000001
1765063501350,2.3928225999999997,-9.3359308,-1.6475172
1765063501356,2.3928225999999997,-9.3359308,-1.6475172
1765063501362,1.8436502,-9.5320638,-1.4513842
1765063501368,1.8436502,-9.5320638,-1.4513842
1765063501374,1.8436502,-9.7281968,-1.3729310000000001
1765063501380,1.6475172,-9.7674234,-1.3729310000000001
1765063501386,1.6475172,-9.7674234,-1.3729310000000001
1765063501392,1.6082906,-9.610517,-1.3729310000000001
1765063501398,1.6082906,-9.610517,-1.3729310000000001
1765063501404,1.9221034,-9.2967042,-1.3729310000000001
1765063501410,2.3143694,-9.1790244,-1.4121576
1765063501416,2.3143694,-9.1790244,-1.4121576
1765063501422,2.157463,-8.669078599999999,-1.569064
1765063501428,2.157463,-8.669078599999999,-1.569064
1765063501434,2.4712758,-8.7083052,-1.569064
1765063501440,2.5889556,-9.2574776,-1.4906107999999998
1765063501446,2.5889556,-9.2574776,-1.4906107999999998
1765063501452,2.1966896,-9.571290399999999,-1.4906107999999998
1765063501493,0.8237586,-10.5519554,-1.4906107999999998
1765063501499,0.8237586,-10.5519554,-1.4906107999999998
1765063501505,0.7453053999999999,-10.1204628,-1.2944778
1765063501511,1.0198916,-9.1790244,-1.5298374
1765063501517,1.0198916,-9.1790244,-1.5298374
1765063501523,1.6082906,-9.0613446,-1.5298374
1765063501529,1.6082906,-9.0613446,-1.5298374
1765063501535,1.7259703999999998,-9.5320638,-1.2944778
1765063501541,1.7259703999999998,-9.5320638,-1.2944778
1765063501547,1.6475172,-9.5320638,-1.3337044
1765063501553,1.569064,-9.610517,-1.4121576
1765063501559,1.569064,-9.610517,-1.4121576
1765063501565,2.1966896,-9.7674234,-1.3337044
1765063501571,2.1966896,-9.7674234,-1.3337044
1765063501577,2.5105024,-9.1790244,-1.4513842
1765063501583,2.6674088,-8.2768126,-1.4906107999999998
1765063501589,2.6674088,-8.2768126,-1.4906107999999998
1765063501595,2.6674088,-8.041453,-1.6082906
1765063501601,2.6674088,-8.041453,-1.6082906
1765063501607,2.0005566,-8.433719,-1.569064
1765063501647,2.157463,-10.591182,-1.4906107999999998
1765063501653,2.6281822,-10.198916,-1.765197
1765063501659,2.6281822,-10.198916,-1.765197
1765063501665,2.7850886,-9.5320638,-2.1966896
1765063501671,2.7850886,-9.5320638,-2.1966896
1765063501677,3.0204481999999997,-9.2574776,-2.3928225999999997
1765063501683,3.1773545999999997,-10.3558224,-2.1966896
1765063501689,3.1773545999999997,-10.3558224,-2.1966896
1765063501695,2.8635417999999997,-10.7480884,-2.0397832
1765063501701,2.8635417999999997,-10.7480884,-2.0397832
1765063501707,2.8243152,-10.277369199999999,-2.1182364
1765063501713,2.8243152,-10.277369199999999,-2.1182364
1765063501719,3.0204481999999997,-10.1204628,-2.3535959999999996
1765063501725,3.8049801999999997,-10.1204628,-2.5105024
1765063501731,3.8049801999999997,-10.1204628,-2.5105024
1765063501737,4.0795664,-9.80665,-2.6674088
1765063501743,4.0795664,-9.80665,-2.6674088
1765063501749,4.5502856,-9.5320638,-2.9027684
1765063501755,4.9425516,-10.591182,-2.5889556
