timestamp_ms,ax,ay,az
1765063873788,0.1569064,-9.9635564,-2.2751428
1765063873829,2.1182364,-9.649743599999999,-1.7259703999999998
1765063873835,2.3928225999999997,-9.022118,-1.4513842
1765063873841,2.3928225999999997,-9.022118,-1.4513842
1765063873847,2.4712758,-8.669078599999999,-1.3337044
1765063873853,2.3143694,-8.629852,-1.2944778
1765063873859,2.3143694,-8.629852,-1.2944778
1765063873865,2.2359162,-8.590625399999999,-1.3337044
1765063873871,2.2359162,-8.590625399999999,-1.3337044
1765063873877,2.4320492,-8.629852,-1.3337044
1765063873883,2.8243152,-8.9436648,-1.2552512
1765063873889,2.8243152,-8.9436648,-1.2552512
1765063873895,3.1773545999999997,-9.649743599999999,-1.2944778
1765063873901,3.1773545999999997,-9.649743599999999,-1.2944778
1765063873907,3.138128,-10.002782999999999,-1.2160246
1765063873913,3.138128,-10.002782999999999,-1.2160246
1765063873919,3.0596748,-10.002782999999999,-1.0983448
1765063873925,2.9027684,-8.9436648,-1.3729310000000001
1765063873931,2.9027684,-8.9436648,-1.3729310000000001
1765063873937,3.0596748,-7.7668668,-1.3337044
1765063873943,3.0596748,-7.7668668,-1.3337044
1765063873983,0.2745862,-9.9635564,-1.8828768
1765063873989,-0.3530394,-10.9442214,-1.8044235999999998
1765063873995,0.0784532,-10.9442214,-1.9221034
1765063874001,0.0784532,-10.9442214,-1.9221034
1765063874007,1.3729310000000001,-10.2381426,-2.0005566
1765063874013,1.3729310000000001,-10.2381426,-2.0005566
1765063874019,2.4320492,-9.4536106,-2.0005566
1765063874025,2.3535959999999996,-9.1005712,-2.1966896
1765063874031,2.3535959999999996,-9.1005712,-2.1966896
1765063874037,1.2160246,-9.7674234,-2.3928225999999997
1765063874043,1.2160246,-9.7674234,-2.3928225999999997
1765063874049,0.4707192,-10.395049,-2.0790097999999997
1765063874055,0.4707192,-10.395049,-2.0790097999999997
1765063874061,0.980665,-10.6304086,-2.0790097999999997
1765063874067,1.7259703999999998,-10.5519554,-2.2751428
1765063874073,1.7259703999999998,-10.5519554,-2.2751428
1765063874079,1.9221034,-10.6304086,-2.4320492
1765063874085,1.9221034,-10.6304086,-2.4320492
1765063874091,1.1375714,-10.9049948,-2.5105024
1765063874097,0.0,-10.7480884,-2.4712758
1765063874138,0.2745862,-8.2768126,-2.0790097999999997
1765063874144,0.2745862,-8.2768126,-2.0790097999999997
1765063874150,0.784532,-8.4729456,-2.157463
1765063874156,0.784532,-8.4729456,-2.157463
1765063874162,1.0198916,-9.1005712,-2.2359162
1765063874168,1.0591182,-9.924329799999999,-2.2751428
1765063874174,1.0591182,-9.924329799999999,-2.2751428
1765063874180,0.8237586,-10.395049,-2.3535959999999996
1765063874186,0.8237586,-10.395049,-2.3535959999999996
1765063874192,0.784532,-10.4342756,-2.2751428
1765063874198,0.784532,-10.1204628,-2.3535959999999996
1765063874204,0.784532,-10.1204628,-2.3535959999999996
1765063874210,0.5883989999999999,-9.610517,-2.3535959999999996
1765063874216,0.5883989999999999,-9.610517,-2.3535959999999996
1765063874222,0.3530394,-9.1397978,-2.3928225999999997
1765063874228,0.3530394,-9.1397978,-2.3928225999999997
1765063874234,0.0784532,-8.7867584,-2.3535959999999996
1765063874240,0.0,-8.433719,-2.3143694
1765063874246,0.0,-8.433719,-2.3143694
1765063874252,-0.196133,-8.590625399999999,-2.3143694
1765063874292,0.6668522,-9.1790244,-2.3535959999999996
1765063874298,0.6668522,-9.1790244,-2.3535959999999996
1765063874304,0.5883989999999999,-8.1199062,-2.0397832
1765063874310,0.2353596,-7.5707338,-2.4320492
1765063874316,0.2353596,-7.5707338,-2.4320492
1765063874322,-0.2353596,-8.1983594,-2.3928225999999997
1765063874328,-0.2353596,-8.1983594,-2.3928225999999997
1765063874334,0.0784532,-9.414383999999998,-2.4712758
1765063874340,0.2745862,-10.4735022,-2.549729
1765063874346,0.2745862,-10.4735022,-2.549729
1765063874352,0.784532,-10.983448000000001,-2.4712758
1765063874358,0.784532,-10.983448000000001,-2.4712758
1765063874364,1.3337044,-10.8265416,-2.549729
1765063874370,1.2552512,-10.2381426,-2.3928225999999997
1765063874376,1.2552512,-10.2381426,-2.3928225999999997
1765063874382,1.1375714,-8.9828914,-2.3928225999999997
1765063874388,1.1375714,-8.9828914,-2.3928225999999997
1765063874394,0.980665,-7.3353741999999995,-2.3535959999999996
1765063874400,0.980665,-7.3353741999999995,-2.3535959999999996
1765063874406,1.0591182,-5.6486304,-2.549729
1765063874447,-0.9022117999999999,-8.7867584,-4.0403398
1765063874453,-1.3729310000000001,-10.8265416,-4.2756994
1765063874459,-1.3729310000000001,-10.8265416,-4.2756994
1765063874465,-1.6867438000000001,-12.3956056,-4.4718324
1765063874471,-1.6867438000000001,-12.3956056,-4.4718324
1765063874477,-1.8044235999999998,-12.944778,-4.2756994
